
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S3),2.48647,2.48719,206207,8.76925,1.3054,7.46385,0.872284,100000
(S1; S4),2.55263,2.55297,217258,3.43406,0.0854512,3.34861,0.760718,100000
(S1; S5),2.23152,2.23137,165969,6.4727,4.07835,2.39435,0.193269,100000
(S1; S6),2.38722,2.38736,189985,7.38548,0.376724,7.00875,1.8131,100000
(S1; S7),2.41758,2.41763,194904,131.673,121.093,10.5791,0.738944,100000
(S1; S8),2.2915,2.2913,175058,94.4627,85.5566,8.90609,0.00423952,100000
(S2; S3),2.35132,2.35212,184420,6.42752,2.63967,3.78785,0.810903,100000
(S2; S4),2.41495,2.41539,194474,5.31084,1.18836,4.12248,1.07812,100000
(S2; S5),2.11027,2.11023,148441,6.72195,6.52594,0.196014,0.346592,100000
(S2; S6),2.25702,2.25726,169842,3.68561,0.804787,2.88083,1.62147,100000
(S2; S7),2.28794,2.28811,174590,115.337,111.003,4.33436,0.418172,100000
(S2; S8),2.16946,2.16939,156933,85.1282,82.5067,2.62149,-0.302915,100000
(S3; S4),2.48903,2.48967,206617,2.53538,1.28347,1.25191,0.0129178,100000
(S3; S5),2.00717,2.00727,134309,6.52897,2.89771,3.63126,-0.0696912,100000
(S3; S6),2.14325,2.14366,153179,5.90849,1.84047,4.06802,1.23527,100000
(S3; S7),2.16972,2.17002,157018,76.0756,74.0615,2.0141,-0.448819,100000
(S3; S8),2.05585,2.05592,140935,58.5682,56.6969,1.87126,-0.846605,100000
(S4; S5),2.05936,2.05914,141338,3.54414,2.67286,0.87128,-0.303561,100000
(S4; S6),2.2013,2.20136,161534,3.07805,0.269349,2.8087,1.28077,100000
(S4; S7),2.22923,2.2292,165706,91.0965,89.4722,1.62434,0.0681427,100000
(S4; S8),2.11399,2.11375,148982,69.9235,67.1673,2.75619,-0.898257,100000
(S5; S6),2.51444,2.51399,210675,6.59502,6.36294,0.232078,-0.385715,100000
(S5; S7),2.34565,2.34513,183372,88.1369,83.4621,4.67476,0.555523,100000
(S5; S8),2.22049,2.21974,164280,63.2367,60.0143,3.22232,-0.379754,100000
(S6; S7),2.50812,2.50788,209723,153.323,148.578,4.74521,-0.596503,100000
(S6; S8),2.37512,2.37464,188021,105.675,100.18,5.49494,-1.97662,100000
(S7; S8),2.76596,2.76498,254840,8.85212,3.43922,5.4129,-1.96016,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.7633,2.76593,255014,9.0945,5.5179,3.5766,-1.48152,100000
(S1; S3),2.47125,2.47535,204251,7.8416,6.10055,1.74105,0.625181,100000
(S1; S4),2.54486,2.54788,216392,6.61332,1.51717,5.09615,-0.998711,100000
(S1; S5),2.21887,2.22205,164592,12.4797,9.37467,3.10503,1.23206,100000
(S1; S6),2.3836,2.3862,189802,3.66488,2.87368,0.791199,0.512505,100000
(S1; S7),2.41453,2.41011,193662,88.2431,85.7822,2.46091,1.34081,100000
(S1; S8),2.28835,2.28485,174052,68.1651,65.5129,2.65226,0.399036,100000
(S2; S3),2.34126,2.34509,183322,8.8113,3.65704,5.15426,1.31766,100000
(S2; S4),2.4094,2.4122,193960,2.60605,1.94454,0.661514,0.289744,100000
(S2; S5),2.1035,2.10645,147912,10.4104,7.40042,3.00998,1.57646,100000
(S2; S6),2.257,2.2594,170165,2.16189,0.510196,1.6517,1.03879,100000
(S2; S7),2.28561,2.28136,173526,75.2627,69.4443,5.8184,1.47858,100000
(S2; S8),2.16629,2.16292,155972,59.9434,54.7239,5.21943,0.775108,100000
(S3; S4),2.46879,2.47342,203933,11.2167,2.40091,8.8158,-1.67998,100000
(S3; S5),1.98493,1.98913,131896,10.378,3.35614,7.02187,0.516673,100000
(S3; S6),2.13055,2.13431,151852,3.25618,1.57459,1.68159,0.227116,100000
(S3; S7),2.15582,2.15336,154617,76.4296,74.9652,1.46434,0.983329,100000
(S3; S8),2.04285,2.04114,138918,59.7829,59.5448,0.238144,0.0954425,100000
(S4; S5),2.04842,2.05179,140334,9.39186,3.82811,5.56375,2.32406,100000
(S4; S6),2.19665,2.19951,161264,4.468,0.896462,3.57154,1.77779,100000
(S4; S7),2.22179,2.21819,164052,73.8098,64.5304,9.27932,2.43728,100000
(S4; S8),2.10696,2.10419,147619,56.6211,51.0835,5.53758,1.02463,100000
(S5; S6),2.51333,2.51724,211222,10.246,7.97163,2.27433,-1.12429,100000
(S5; S7),2.33737,2.33416,181655,72.8445,71.3129,1.53151,-0.0323132,100000
(S5; S8),2.21327,2.21091,162974,54.3994,51.4859,2.91355,-0.811161,100000
(S6; S7),2.50887,2.5046,209157,109.326,103.02,6.30551,1.63191,100000
(S6; S8),2.37755,2.37422,187944,75.6999,72.619,3.08084,0.343713,100000
(S7; S8),2.7783,2.76613,255052,8.24788,2.62543,5.62245,-2.01645,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.74026,2.7605,254015,18.9565,3.61821,15.3383,2.25235,100000
(S1; S3),2.45718,2.47378,203990,5.96264,4.47263,1.49001,-0.954189,100000
(S1; S4),2.5299,2.54672,216199,12.4151,3.63696,8.77812,1.19306,100000
(S1; S5),2.20347,2.21684,163818,6.94394,4.60082,2.34313,-1.12454,100000
(S1; S6),2.35627,2.36964,187185,9.32627,8.00406,1.32221,0.132618,100000
(S1; S7),2.38607,2.3731,188372,658.133,655.942,2.19078,0.123022,100000
(S1; S8),2.26109,2.25043,169339,493.049,490.039,3.00948,0.0823713,100000
(S2; S3),2.32681,2.34304,183000,12.9795,5.39154,7.58793,-1.92455,100000
(S2; S4),2.39709,2.41354,194178,13.1224,2.52728,10.5951,0.53217,100000
(S2; S5),2.085,2.0981,146742,12.012,6.853,5.15905,-1.49851,100000
(S2; S6),2.23142,2.2446,167951,10.2218,9.97358,0.24818,-0.402831,100000
(S2; S7),2.25798,2.2461,168773,595.468,594.456,1.01249,-0.931674,100000
(S2; S8),2.13991,2.13019,151745,458.635,456.557,2.07862,-0.922767,100000
(S3; S4),2.46113,2.47649,204437,9.49112,3.75022,5.7409,1.92519,100000
(S3; S5),1.97601,1.9873,131649,5.77636,1.64749,4.12887,-1.51955,100000
(S3; S6),2.11305,2.12428,150428,6.57383,5.25291,1.32091,-0.498257,100000
(S3; S7),2.13859,2.12624,151199,468.078,465.188,2.88989,0.440993,100000
(S3; S8),2.02509,2.01486,135727,364.069,360.309,3.76033,0.948356,100000
(S4; S5),2.03461,2.04602,139547,10.2943,2.58993,7.70441,-2.58431,100000
(S4; S6),2.17515,2.18648,159366,7.7881,3.69247,4.09563,-0.916425,100000
(S4; S7),2.20181,2.18869,160194,517.987,508.349,9.63836,-0.204659,100000
(S4; S8),2.08715,2.07624,144112,398.723,389.179,9.54377,-0.711467,100000
(S5; S6),2.49553,2.50722,209541,6.72937,1.97539,4.75397,0.724926,100000
(S5; S7),2.32497,2.31012,178439,515.739,512.648,3.09181,1.4856,100000
(S5; S8),2.20286,2.19039,160372,383.938,381.604,2.33406,1.1304,100000
(S6; S7),2.48942,2.47275,204441,615.607,613.452,2.15503,0.966741,100000
(S6; S8),2.36072,2.34658,184048,440.23,438.162,2.06855,0.824432,100000
(S7; S8),2.81602,2.76494,254836,17.2127,12.9822,4.23046,-0.220748,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.76807,2.76934,255642,1.23643,0.320825,0.9156,-0.228389,100000
(S1; S3),2.48026,2.481,205183,7.32323,3.91378,3.40944,1.37483,100000
(S1; S4),2.54771,2.54884,216555,1.38366,0.0668607,1.3168,0.80971,100000
(S1; S5),2.22867,2.22934,165670,8.27878,3.0246,5.25418,-0.409051,100000
(S1; S6),2.38039,2.38178,189100,1.97195,1.55013,0.421826,-0.287581,100000
(S1; S7),2.41252,2.41131,193833,37.4227,35.0316,2.39113,1.50652,100000
(S1; S8),2.28724,2.28649,174283,22.2647,20.6137,1.65098,1.17486,100000
(S2; S3),2.35192,2.35272,184513,7.7705,2.73112,5.03938,1.46031,100000
(S2; S4),2.4163,2.41747,194808,2.71673,0.020778,2.69595,1.01617,100000
(S2; S5),2.11494,2.11567,149206,5.45758,2.19889,3.25869,-0.367642,100000
(S2; S6),2.2594,2.26081,170379,1.23857,0.756079,0.482492,-0.0293119,100000
(S2; S7),2.28913,2.28808,174528,35.0802,30.8833,4.19693,1.62955,100000
(S2; S8),2.17131,2.17069,157078,21.9043,19.2638,2.64055,1.11406,100000
(S3; S4),2.48488,2.4857,205959,6.13483,3.53172,2.60311,-1.55671,100000
(S3; S5),2.00442,2.00479,133977,5.18555,0.142603,5.04294,-1.70938,100000
(S3; S6),2.13933,2.14032,152705,7.24959,3.34339,3.9062,-1.46086,100000
(S3; S7),2.16642,2.16508,156268,21.7451,19.9421,1.8029,-0.781949,100000
(S3; S8),2.05559,2.05468,140733,15.5727,12.954,2.61874,-1.16313,100000
(S4; S5),2.05607,2.05675,141012,3.09823,2.19848,0.899752,-0.402686,100000
(S4; S6),2.19687,2.19821,161075,1.17939,0.89634,0.283055,0.0853962,100000
(S4; S7),2.22812,2.22707,165346,28.1517,27.5592,0.592537,0.701727,100000
(S4; S8),2.11259,2.11197,148693,18.801,17.2902,1.51081,0.896321,100000
(S5; S6),2.51624,2.51743,211252,11.8093,5.36242,6.44691,0.893745,100000
(S5; S7),2.35748,2.35604,185049,33.4255,29.426,3.99949,1.39011,100000
(S5; S8),2.23392,2.23295,166217,22.4042,18.7966,3.60767,1.21097,100000
(S6; S7),2.51501,2.51415,210726,62.9179,59.8789,3.03898,1.51204,100000
(S6; S8),2.38408,2.38369,189421,37.8932,35.9473,1.9459,1.36987,100000
(S7; S8),2.77302,2.76951,255674,3.3131,2.45172,0.861388,0.3039,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.76276,2.7632,254510,6.26423,1.93408,4.33015,-1.39118,100000
(S1; S3),2.48472,2.48549,205925,8.19302,2.90334,5.28968,0.788659,100000
(S1; S4),2.55445,2.55501,217604,4.08954,0.825297,3.26425,0.636112,100000
(S1; S5),2.23351,2.2336,166303,2.59904,0.934919,1.66412,-1.19747,100000
(S1; S6),2.39213,2.39218,190755,10.9904,3.90162,7.08877,-2.24953,100000
(S1; S7),2.41686,2.41656,194706,101.128,98.2889,2.83953,-0.0238729,100000
(S1; S8),2.29131,2.29091,174997,107.575,103.959,3.61565,-0.424917,100000
(S2; S3),2.35103,2.35181,184369,6.07686,1.82207,4.25479,1.23896,100000
(S2; S4),2.41921,2.41978,195179,2.98135,0.815677,2.16567,1.15887,100000
(S2; S5),2.11256,2.11269,148787,3.67848,1.49413,2.18435,-0.961909,100000
(S2; S6),2.26374,2.26385,170839,14.0859,6.56884,7.51703,-1.71938,100000
(S2; S7),2.28614,2.28591,174230,98.1836,92.9181,5.2655,0.354898,100000
(S2; S8),2.16803,2.1677,156690,106.95,101.016,5.93431,-0.395638,100000
(S3; S4),2.48994,2.49091,206828,4.29005,0.758619,3.53143,-0.466435,100000
(S3; S5),2.00301,2.00344,133804,7.6117,2.2635,5.34819,-0.829856,100000
(S3; S6),2.14664,2.14707,153671,17.5621,6.6148,10.9473,-1.6188,100000
(S3; S7),2.16965,2.16973,156972,81.4794,72.4243,9.05504,-0.343754,100000
(S3; S8),2.0553,2.05527,140858,87.9114,81.8173,6.09416,-1.14991,100000
(S4; S5),2.06214,2.0624,141794,5.2337,1.07524,4.15846,-1.41994,100000
(S4; S6),2.20634,2.20659,162308,11.6655,4.40162,7.2639,-1.65493,100000
(S4; S7),2.22809,2.22796,165499,77.9008,73.9614,3.93936,-0.95736,100000
(S4; S8),2.1121,2.11186,148711,85.0694,83.1323,1.93716,-0.762346,100000
(S5; S6),2.52101,2.52084,211823,4.60026,4.41692,0.183335,-0.320667,100000
(S5; S7),2.35436,2.35384,184724,80.0318,78.9118,1.12006,0.863662,100000
(S5; S8),2.23056,2.22996,165806,87.449,86.6977,0.751257,0.226507,100000
(S6; S7),2.51825,2.51768,211327,81.6382,80.081,1.55714,0.771171,100000
(S6; S8),2.38465,2.384,189492,87.5448,83.9146,3.63021,-0.341997,100000
(S7; S8),2.76534,2.76402,254663,9.89671,4.98829,4.90842,-1.05172,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.76632,2.76814,255421,6.44533,5.22018,1.22516,-0.776686,100000
(S1; S3),2.48855,2.48949,206587,2.8284,1.20922,1.61917,0.646699,100000
(S1; S4),2.55557,2.5573,217994,4.47599,1.46692,3.00907,-1.44236,100000
(S1; S5),2.23534,2.23562,166607,9.84975,4.27489,5.57486,-1.49689,100000
(S1; S6),2.38496,2.38575,189732,11.2281,1.49945,9.72862,-1.85499,100000
(S1; S7),2.41102,2.41036,193717,83.0029,81.757,1.2459,-0.0264911,100000
(S1; S8),2.28639,2.28603,174244,67.1654,64.3381,2.82735,-0.916166,100000
(S2; S3),2.35821,2.35932,185550,4.20491,3.27215,0.932756,0.884566,100000
(S2; S4),2.42214,2.424,195863,6.26028,5.03478,1.2255,-0.667273,100000
(S2; S5),2.1182,2.11864,149632,11.8937,7.28284,4.61084,-1.77291,100000
(S2; S6),2.26217,2.26312,170733,11.036,3.19146,7.84451,-2.05802,100000
(S2; S7),2.2848,2.28441,174007,67.0246,66.7113,0.313254,-0.0621702,100000
(S2; S8),2.16629,2.16617,156456,57.2541,55.5344,1.71974,-0.812718,100000
(S3; S4),2.4882,2.48943,206579,8.38077,3.94999,4.43079,-1.66367,100000
(S3; S5),2.01511,2.015,135348,7.5525,1.78382,5.76868,-1.9813,100000
(S3; S6),2.14768,2.14799,153800,7.74203,0.0460747,7.69595,-2.14719,100000
(S3; S7),2.16784,2.16685,156550,49.5264,48.9959,0.530459,-0.395914,100000
(S3; S8),2.05526,2.05456,140743,45.1561,41.59,3.5661,-1.35121,100000
(S4; S5),2.06833,2.06883,142675,7.60854,5.57581,2.03273,0.0303665,100000
(S4; S6),2.20473,2.20571,162176,6.99481,3.13391,3.86091,-0.428147,100000
(S4; S7),2.22837,2.22799,165513,69.102,67.6344,1.46754,0.363365,100000
(S4; S8),2.11508,2.11496,149142,59.2964,55.39,3.90646,-0.64997,100000
(S5; S6),2.52152,2.52127,211896,4.00477,3.75911,0.245656,0.326975,100000
(S5; S7),2.36147,2.35977,185662,80.0113,75.0825,4.92878,1.6029,100000
(S5; S8),2.23895,2.23761,166936,63.6221,61.9006,1.72153,0.980124,100000
(S6; S7),2.5247,2.52345,212306,90.4668,81.4478,9.01896,2.19419,100000
(S6; S8),2.39253,2.39163,190701,62.0078,61.2539,0.753888,0.507999,100000
(S7; S8),2.76995,2.767,255212,4.38703,1.65492,2.73211,-0.937113,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.76224,2.76291,254457,7.76284,1.59196,6.17089,-1.09393,100000
(S1; S3),2.47928,2.47915,204876,2.34861,0.560762,1.78785,0.597236,100000
(S1; S4),2.55863,2.55823,218154,5.87102,3.8367,2.03432,1.18454,100000
(S1; S5),2.22511,2.22566,165124,3.80196,0.786739,3.01522,0.479631,100000
(S1; S6),2.38392,2.38412,189471,1.42034,1.05391,0.366439,0.565979,100000
(S1; S7),2.41321,2.41288,194083,26.1786,25.0509,1.1277,0.208752,100000
(S1; S8),2.28672,2.28671,174314,17.9115,16.9639,0.947628,0.0608636,100000
(S2; S3),2.34747,2.34774,183733,3.56975,1.67667,1.89308,1.21407,100000
(S2; S4),2.42184,2.42186,195518,9.12762,4.6939,4.43372,1.35484,100000
(S2; S5),2.10394,2.10482,147681,3.02163,0.336762,2.68487,0.954313,100000
(S2; S6),2.25502,2.2556,169595,1.9241,1.36508,0.55902,0.730404,100000
(S2; S7),2.28118,2.28126,173487,22.4597,20.9617,1.49805,0.901323,100000
(S2; S8),2.16296,2.16331,156009,15.6303,14.5069,1.12339,0.893261,100000
(S3; S4),2.48618,2.48547,205922,3.88594,2.77765,1.1083,-0.3296,100000
(S3; S5),1.99411,1.99436,132591,2.6025,1.21195,1.39056,-0.869423,100000
(S3; S6),2.1366,2.13651,152163,2.85661,0.686443,2.17017,-0.903099,100000
(S3; S7),2.16714,2.16658,156483,14.7494,14.3736,0.375835,-0.402129,100000
(S3; S8),2.05416,2.0539,140626,10.6255,10.4393,0.186248,-0.371051,100000
(S4; S5),2.06051,2.06054,141536,6.04017,4.4144,1.62577,0.0538271,100000
(S4; S6),2.20614,2.20581,162195,6.82713,4.76716,2.05996,0.651268,100000
(S4; S7),2.23371,2.23289,166209,22.1059,21.1843,0.921637,0.933481,100000
(S4; S8),2.11768,2.11717,149428,17.9372,17.6528,0.284328,0.520928,100000
(S5; S6),2.52051,2.52117,211879,6.32591,0.91807,5.40784,-0.344522,100000
(S5; S7),2.3519,2.35201,184414,24.2653,21.4002,2.86513,0.467474,100000
(S5; S8),2.2278,2.2282,165507,18.829,13.4846,5.3444,0.850494,100000
(S6; S7),2.51741,2.51711,211208,23.8846,23.1726,0.711961,0.736194,100000
(S6; S8),2.38385,2.38388,189439,14.4777,13.3517,1.12598,1.00791,100000
(S7; S8),2.76941,2.7688,255544,4.40689,3.18857,1.21832,0.272816,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.77359,2.77451,256597,6.14366,0.409567,5.7341,1.38995,100000
(S1; S3),2.48822,2.4896,206607,6.32253,4.70987,1.61265,0.863025,100000
(S1; S4),2.55571,2.55665,217883,5.81891,0.097663,5.72125,-0.408967,100000
(S1; S5),2.23557,2.23712,166828,10.5414,8.59815,1.94323,-0.818353,100000
(S1; S6),2.38492,2.38668,189879,10.7827,9.10655,1.67616,0.388129,100000
(S1; S7),2.41474,2.41282,194093,74.4655,72.003,2.46254,-1.40235,100000
(S1; S8),2.29013,2.28837,174587,57.6523,54.9624,2.68992,-1.41689,100000
(S2; S3),2.3597,2.36094,185805,4.25217,3.82749,0.424677,-0.509876,100000
(S2; S4),2.42177,2.42261,195637,10.4815,0.376887,10.1046,-1.39178,100000
(S2; S5),2.12139,2.1228,150215,13.0282,6.90799,6.12021,-1.16765,100000
(S2; S6),2.26332,2.26493,171002,10.528,7.42986,3.09818,-0.180934,100000
(S2; S7),2.29208,2.29022,174872,61.6351,58.1799,3.45518,-1.59163,100000
(S2; S8),2.17271,2.17101,157144,48.543,45.9202,2.62275,-1.57322,100000
(S3; S4),2.48451,2.48591,205994,8.26074,3.98676,4.27397,-0.903259,100000
(S3; S5),2.00861,2.01039,134727,8.50997,4.58016,3.92981,-0.41315,100000
(S3; S6),2.1471,2.14911,153958,5.36575,2.71332,2.65243,0.848062,100000
(S3; S7),2.17177,2.17046,157069,67.4835,65.5568,1.92668,-0.976,100000
(S3; S8),2.0592,2.05801,141215,56.59,54.2806,2.30936,-0.850549,100000
(S4; S5),2.05719,2.05865,141273,9.28725,7.34526,1.94199,-0.577813,100000
(S4; S6),2.20309,2.20475,162036,8.73193,7.04479,1.68714,1.16664,100000
(S4; S7),2.22477,2.22304,164764,56.3163,54.2088,2.10746,-0.861367,100000
(S4; S8),2.10977,2.10817,148177,46.9436,43.8129,3.13073,-1.1759,100000
(S5; S6),2.52112,2.52379,212319,4.45134,1.55085,2.90049,1.40065,100000
(S5; S7),2.35777,2.35666,185186,120.686,117.494,3.19197,0.115612,100000
(S5; S8),2.23466,2.23366,166362,98.2048,91.829,6.37576,-0.174908,100000
(S6; S7),2.52016,2.51909,211590,161.77,157.957,3.81219,-1.06072,100000
(S6; S8),2.38875,2.3878,190111,124.345,115.419,8.92501,-1.53035,100000
(S7; S8),2.77617,2.77069,255892,5.11412,1.00002,4.1141,-1.36367,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.75608,2.76224,254333,8.76702,2.90172,5.8653,1.30674,100000
(S1; S3),2.46588,2.4722,203728,3.43311,0.550624,2.88249,0.50492,100000
(S1; S4),2.53379,2.54058,215153,2.51392,1.35736,1.15656,-0.71571,100000
(S1; S5),2.21736,2.22155,164514,5.92819,3.77447,2.15372,-0.870724,100000
(S1; S6),2.36986,2.37516,188052,6.02501,2.35016,3.67485,0.244204,100000
(S1; S7),2.40925,2.40414,192769,156.172,145.279,10.8933,-0.57327,100000
(S1; S8),2.28167,2.27808,173062,99.3356,94.9342,4.4014,0.364338,100000
(S2; S3),2.33411,2.33925,182406,4.59045,1.50801,3.08244,-0.178949,100000
(S2; S4),2.39881,2.40438,192703,3.56281,1.4911,2.0717,-0.951176,100000
(S2; S5),2.09782,2.10103,147148,3.30367,1.07314,2.23053,-1.15179,100000
(S2; S6),2.24272,2.24693,168293,2.06503,0.425891,1.63914,-0.508453,100000
(S2; S7),2.28269,2.27709,172929,108.853,103.86,4.9938,-1.09522,100000
(S2; S8),2.16095,2.15684,155129,71.5873,68.6303,2.95703,-0.267914,100000
(S3; S4),2.4689,2.47546,204266,3.44779,1.55204,1.89574,-0.940404,100000
(S3; S5),1.99053,1.99424,132577,10.0225,3.80993,6.21261,-1.76749,100000
(S3; S6),2.12515,2.12983,151212,10.092,2.55512,7.53684,-0.683465,100000
(S3; S7),2.16132,2.15664,155124,118.36,106.428,11.9323,-1.68992,100000
(S3; S8),2.04655,2.04325,139225,79.9781,73.9488,6.02934,-0.718616,100000
(S4; S5),2.04543,2.0495,140022,6.05599,3.41289,2.6431,-0.766281,100000
(S4; S6),2.18264,2.18772,159541,4.72024,1.52816,3.19208,0.471759,100000
(S4; S7),2.21921,2.21471,163592,120.565,116.688,3.87682,-0.0490766,100000
(S4; S8),2.09976,2.09666,146602,83.3443,80.3164,3.02784,0.70924,100000
(S5; S6),2.51141,2.51524,210885,2.35248,1.08507,1.26741,0.917656,100000
(S5; S7),2.34502,2.33841,182347,94.4247,93.2696,1.15513,0.521305,100000
(S5; S8),2.21847,2.21345,163365,63.1408,58.883,4.25779,1.9153,100000
(S6; S7),2.50706,2.50085,208574,145.516,143.297,2.21934,-0.71921,100000
(S6; S8),2.37226,2.36771,186940,89.4588,87.5667,1.89214,0.88944,100000
(S7; S8),2.78259,2.76478,254804,10.9041,5.6176,5.28654,2.08604,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.74562,2.75239,252523,6.92357,2.93,3.99358,0.851605,100000
(S1; S3),2.45526,2.46302,202219,4.83295,3.53384,1.29912,-1.09595,100000
(S1; S4),2.52508,2.53218,213733,1.58263,1.244,0.338633,-0.038607,100000
(S1; S5),2.20157,2.20509,162085,5.66566,2.84815,2.81751,-0.611168,100000
(S1; S6),2.36718,2.37029,187283,7.43155,6.67417,0.757376,-0.178808,100000
(S1; S7),2.40738,2.40251,192448,105.757,102.024,3.73266,1.13038,100000
(S1; S8),2.27087,2.26659,171288,76.2879,74.0188,2.26908,0.233878,100000
(S2; S3),2.32189,2.32922,180845,8.91424,5.2284,3.68583,-1.45015,100000
(S2; S4),2.38678,2.39347,190960,5.17528,3.53754,1.63774,-0.272905,100000
(S2; S5),2.08268,2.086,145052,7.12198,4.03914,3.08284,-0.456916,100000
(S2; S6),2.23751,2.24045,167330,12.8355,7.79172,5.04382,-0.862247,100000
(S2; S7),2.27778,2.27317,172287,85.418,82.0095,3.40851,0.708653,100000
(S2; S8),2.14795,2.1439,153249,66.5491,63.4859,3.06323,0.135094,100000
(S3; S4),2.45437,2.46293,202204,3.15169,1.04755,2.10415,1.24415,100000
(S3; S5),1.96766,1.97216,129653,7.06189,6.86799,0.1939,0.189215,100000
(S3; S6),2.11421,2.11843,149601,12.5026,10.6409,1.86172,0.5364,100000
(S3; S7),2.15157,2.14868,153940,96.5697,93.7676,2.80208,1.60281,100000
(S3; S8),2.02822,2.02578,136833,75.9074,74.542,1.36544,0.984971,100000
(S4; S5),2.02168,2.02559,136773,6.9264,4.26185,2.66455,-0.575446,100000
(S4; S6),2.17622,2.17982,158395,9.8057,7.7685,2.0372,-0.638672,100000
(S4; S7),2.2137,2.21001,162856,91.7578,91.0392,0.718543,0.0775225,100000
(S4; S8),2.08565,2.08245,144599,71.9895,70.1829,1.80658,-0.098917,100000
